"rank","country","peaceIndex","pop2022"
"1","afghanistan","3.5740","40754.3880"
"2","syria","3.5660","19364.8090"
"3","south sudan","3.5260","11618.5110"
"4","yemen","3.4120","31154.8670"
"5","iraq","3.3690","42164.9650"
"6","somalia","3.3000","16841.7950"
"7","central african republic","3.2960","5016.6780"
"8","libya","3.2850","7040.7450"
"9","dr congo","3.2180","95240.7920"
"10","russia","3.0930","145805.9470"
"11","pakistan","3.0720","229488.9940"
"12","turkey","3.0150","85561.9760"
"13","sudan","2.9950","45992.0200"
"14","ukraine","2.9500","43192.1220"
"15","north korea","2.9210","25990.6790"
"16","nigeria","2.8980","216746.9340"
"17","lebanon","2.8000","6684.8490"
"18","israel","2.7350","8922.8920"
"19","mali","2.7100","21473.7640"
"20","venezuela","2.6710","29266.9910"
"21","colombia","2.6610","51512.7620"
"22","palestine","2.6080","5345.5410"
"23","india","2.6050","1406631.7760"
"24","mexico","2.6000","131562.7720"
"25","iran","2.5420","86022.8370"
"26","cameroon","2.5380","27911.5480"
"27","chad","2.5220","17413.5800"
"28","egypt","2.5210","106156.6920"
"29","burundi","2.5200","12624.8400"
"30","philippines","2.5160","112508.9940"
"31","eritrea","2.5040","3662.2440"
"32","zimbabwe","2.4630","15331.4280"
"33","ethiopia","2.4340","120812.6980"
"34","azerbaijan","2.4250","10300.2050"
"35","saudi arabia","2.4090","35844.9090"
"36","united states","2.4010","334805.2690"
"37","south africa","2.3990","60756.1350"
"38","niger","2.3940","26083.6600"
"39","myanmar","2.3930","55227.1430"
"40","bahrain","2.3570","1783.9830"
"41","honduras","2.3410","10221.2470"
"42","mauritania","2.3330","4901.9810"
"43","republic of the congo","2.3230","5797.8050"
"44","nicaragua","2.3120","6779.1000"
"45","kenya","2.3000","56215.2210"
"46","armenia","2.2940","2971.9660"
"47","thailand","2.2780","70078.2030"
"48","brazil","2.2710","215353.5930"
"49","turkmenistan","2.2650","6201.9430"
"50","guatemala","2.2640","18584.0390"
"51","el salvador","2.2620","6550.3890"
"52","guinea-bissau","2.2370","2063.3670"
"53","algeria","2.2190","45350.1480"
"54","china","2.2170","1448471.4000"
"55","djibouti","2.2070","1016.0970"
"56","togo","2.2050","8680.8370"
"57","ivory coast","2.2030","27742.2980"
"59","tajikistan","2.1960","9957.4640"
"58","uganda","2.1960","48432.8630"
"60","burkina faso","2.1760","22102.8380"
"61","lesotho","2.1670","2175.6990"
"62","uzbekistan","2.1660","34382.0840"
"63","bangladesh","2.1280","167885.6890"
"64","guinea","2.1250","13865.6910"
"65","georgia","2.1220","3968.7380"
"66","papua new guinea","2.1180","9292.1690"
"67","belarus","2.1150","9432.8000"
"68","gabon","2.1120","2331.5330"
"69","kyrgyzstan","2.1050","6728.2710"
"70","mozambique","2.0990","33089.4610"
"71","trinidad and tobago","2.0940","1406.5850"
"72","guyana","2.0750","794.0450"
"73","cuba","2.0730","11305.6520"
"74","morocco","2.0700","37772.7560"
"75","cambodia","2.0660","17168.6390"
"76","Paraguay","2.0550","7305.8430"
"77","haiti","2.0520","11680.2830"
"78","bolivia","2.0440","11992.6560"
"79","dominican republic","2.0410","11056.3700"
"80","jamaica","2.0380","2985.0940"
"81","tunisia","2.0350","12046.6560"
"82","bosnia and herzegovina","2.0190","3249.3170"
"83","peru","2.0160","33684.2080"
"84","rwanda","2.0140","13600.4640"
"86","jordan","2.0120","10300.8690"
"85","angola","2.0120","35027.3430"
"87","nepal","2.0030","30225.5820"
"88","argentina","1.9890","46010.2340"
"91","Eswatini","1.9860","1184.8170"
"90","benin","1.9860","12784.7260"
"89","Sri Lanka","1.9860","21575.8420"
"92","ecuador","1.9800","18113.3610"
"93","equatorial guinea","1.9570","1496.6620"
"94","oman","1.9530","5323.9930"
"95","moldova","1.9510","4013.1710"
"96","montenegro","1.9390","627.9500"
"97","greece","1.9330","10316.6370"
"98","kazakhstan","1.9320","19205.0430"
"99","cyprus","1.9140","1223.3870"
"100","gambia","1.9080","2558.4820"
"102","namibia","1.8920","2633.8740"
"101","france","1.8920","65584.5180"
"103","liberia","1.8890","5305.1170"
"104","senegal","1.8830","17653.6710"
"105","vietnam","1.8770","98953.5410"
"107","madagascar","1.8670","29178.0770"
"106","south korea","1.8670","51329.8990"
"108","tanzania","1.8600","63298.5500"
"109","united arab emirates","1.8470","10081.7850"
"110","sierra leone","1.8220","8306.4360"
"111","albania","1.8210","2866.3740"
"112","serbia","1.8120","8653.0160"
"114","Timor-Leste","1.8050","1369.4290"
"113","zambia","1.8050","19470.2340"
"115","panama","1.8040","4446.9640"
"117","laos","1.8010","7481.0230"
"116","united kingdom","1.8010","68497.9070"
"118","ghana","1.7960","32395.4500"
"119","kuwait","1.7940","4380.3260"
"120","mongolia","1.7920","3378.0780"
"121","indonesia","1.7850","279134.5050"
"122","malawi","1.7790","20180.8390"
"123","italy","1.7540","60262.7700"
"124","lithuania","1.7280","2661.7080"
"125","estonia","1.7270","1321.9100"
"126","taiwan","1.7250","23888.5950"
"127","latvia","1.7180","1848.8370"
"128","uruguay","1.7110","3496.0160"
"129","costa rica","1.7060","5182.3540"
"130","spain","1.6990","46719.1420"
"131","qatar","1.6960","2979.9150"
"132","botswana","1.6760","2441.1620"
"133","poland","1.6540","37739.7850"
"134","croatia","1.6450","4059.2860"
"135","chile","1.6340","19250.1950"
"136","bulgaria","1.6070","6844.5970"
"137","romania","1.6060","19031.3350"
"138","mauritius","1.5620","1274.7270"
"139","slovakia","1.5500","5460.1930"
"140","germany","1.5470","83883.5960"
"141","hungary","1.5400","9606.2590"
"142","norway","1.5360","5511.3700"
"144","sweden","1.5330","10218.9710"
"143","belgium","1.5330","11668.2780"
"145","netherlands","1.5300","17211.4470"
"146","malaysia","1.5290","33181.0720"
"147","Bhutan","1.5060","787.9410"
"148","finland","1.4880","5554.9600"
"149","australia","1.4190","26068.7920"
"150","ireland","1.3900","5020.1990"
"151","switzerland","1.3830","8773.6370"
"152","czech republic","1.3750","10736.7840"
"153","japan","1.3690","125584.8380"
"154","slovenia","1.3550","2078.0340"
"155","singapore","1.3470","5943.5460"
"156","canada","1.3270","38388.4190"
"157","denmark","1.3160","5834.9500"
"158","austria","1.2910","9066.7100"
"159","portugal","1.2740","10140.5700"
"160","new zealand","1.2210","4898.2030"
"161","iceland","1.0720","345.3930"